run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
719	45	3	1	0	14	1	1	1008	819.74	-206.05	-88.32	175.17	1543.4	14	1000180400	18	0
719	45	10	1	0	14	0	2	1091	2260.55	62.60	103.39	299.07	1150.2	13	1000180400	14	1
719	45	12	1	0	14	1	0	1002	1557.28	-5.78	0.15	509.13	1478.3	14	1000260560	14	0
719	45	17	1	0	14	0	0	1001	1100.49	-154.39	-116.85	15.30	703.5	13	1000180400	8	1
719	45	19	4	0	14	0	0	1001	784.27	-4.52	-525.91	877.89	391.3	13	1000110230	8	0
719	45	19	4	1	14	0	0	1001	358.65	87.37	-193.66	562.15	1100.1	13	1000180400	10	0
719	45	19	4	2	14	1	1	1008	863.84	-59.08	104.04	377.34	773.5	14	1000180400	11	1
719	45	19	4	3	14	0	1	1003	1815.44	-27.31	-307.57	-561.00	1250.1	13	1000080160	19	0
719	45	22	1	0	14	0	1	1004	1750.24	-126.99	218.62	426.50	395.4	13	1000180400	12	0
719	45	25	1	0	14	0	0	1001	784.58	68.74	-146.13	485.57	1117.8	13	1000180400	9	1
719	45	30	1	0	14	0	1	1005	1126.00	212.19	67.15	53.41	762.7	13	1000180400	20	0
719	45	32	4	0	14	0	1	1003	617.03	-180.20	-98.57	19.68	420.0	13	1000180400	16	1
719	45	32	4	1	14	1	0	1002	1239.15	-166.35	5.89	228.04	1147.1	14	1000180400	9	1
719	45	32	4	2	14	0	0	1001	637.82	253.22	75.78	18.35	1459.6	13	1000180400	9	0
719	45	32	4	3	-14	0	0	1001	653.00	167.60	250.75	-370.08	370.8	-13	1000200400	8	0
719	45	33	2	0	14	1	1	1006	533.89	569.09	614.90	706.74	1428.4	14	1000200400	12	0
719	45	33	2	1	14	0	0	1001	719.03	201.23	-177.84	504.78	1365.6	13	1000180400	14	0
719	45	34	2	0	14	0	1	1003	2350.82	575.36	197.49	836.35	925.1	13	1000200400	12	0
719	45	34	2	1	14	1	2	1092	4757.77	183.69	-223.92	542.95	1518.3	14	1000180400	33	0
719	45	35	1	0	14	0	0	1001	933.16	26.53	7.34	-140.23	831.6	13	1000260560	9	0
719	45	37	2	0	14	0	10	1000	332.94	-103.50	-434.83	-113.80	95.8	13	1000080160	11	0
719	45	37	2	1	14	1	0	1002	242.98	-401.08	236.92	-26.04	247.6	14	1000130270	11	0
719	45	40	3	0	14	0	10	1000	1021.99	-229.54	-545.91	-77.54	75.0	13	1000080160	21	0
719	45	40	3	1	14	0	1	1003	1838.44	-240.70	-487.66	496.93	360.3	13	1000080160	15	0
719	45	40	3	2	14	1	0	1002	1086.34	-529.66	-31.59	485.32	738.8	14	1000140280	22	0
719	45	41	3	0	14	1	1	1009	1135.62	-680.42	556.23	-436.41	1333.2	14	1000200400	31	0
719	45	41	3	1	14	0	1	1005	1313.14	6.49	123.78	-328.54	1146.5	13	1000080160	11	0
719	45	41	3	2	14	0	2	1091	1894.54	57.80	108.44	-277.08	1318.2	13	1000140280	13	0
719	45	42	2	0	14	0	1	1004	1465.72	-237.58	-441.18	79.76	1162.6	13	1000080160	13	0
719	45	42	2	1	14	0	10	1000	485.02	-54.26	-124.21	415.76	1061.3	13	1000180400	13	1
719	45	45	2	0	14	0	10	1000	637.49	-169.58	-497.73	75.54	837.5	13	1000110230	12	0
719	45	45	2	1	14	1	2	1092	5796.40	-22.55	-127.47	561.70	1443.2	14	1000180400	28	0
719	45	48	1	0	14	0	1	1003	1332.07	26.02	193.80	433.42	1249.9	13	1000180400	11	1
713	45	1	1	0	14	0	1	1003	1382.83	1.36	-16.27	306.28	620.6	13	1000180400	13	1
713	45	6	2	0	14	0	0	1001	1640.18	242.70	91.46	323.22	1264.7	13	1000180400	19	0
713	45	6	2	1	14	0	0	1001	506.40	-238.71	-366.00	-340.69	804.5	13	1000140280	9	0
713	45	10	2	0	14	1	0	1002	834.53	319.73	-456.16	346.37	490.5	14	1000140280	11	0
713	45	10	2	1	14	0	10	1000	1286.23	-3.52	178.16	324.32	1039.0	13	1000180400	18	1
713	45	12	1	0	14	0	1	1003	551.37	-97.43	205.42	-272.18	162.3	13	1000080160	17	0
713	45	15	1	0	14	0	1	1004	4880.01	408.50	-133.90	-447.90	441.2	13	1000080160	16	0
713	45	25	2	0	14	0	10	1000	590.50	-278.38	552.82	-469.59	367.9	13	1000200400	17	0
713	45	25	2	1	14	0	10	1000	1191.47	18.08	168.72	308.34	808.7	13	1000180400	12	1
713	45	26	3	0	14	0	1	1005	1097.48	-76.53	-147.87	334.47	847.7	13	1000180400	14	1
713	45	26	3	1	14	1	0	1002	422.88	680.54	466.16	60.73	535.4	14	1000200400	9	0
713	45	26	3	2	14	0	0	1001	623.07	309.61	59.18	-393.67	1127.8	13	1000200400	8	0
713	45	28	3	0	14	0	0	1001	509.22	630.26	171.45	913.52	866.8	13	1000140280	16	0
713	45	28	3	1	14	0	1	1003	705.89	550.66	-625.67	268.51	391.6	13	1000080160	14	0
713	45	28	3	2	14	0	1	1003	1005.94	-163.96	11.60	614.65	1367.4	13	1000180400	28	0
713	45	30	3	0	14	0	1	1003	4491.80	32.77	-164.64	1196.92	932.2	13	1000200400	13	0
713	45	30	3	1	14	0	2	1091	2223.74	80.02	154.77	540.98	209.8	13	1000180400	14	0
