run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
296	86	1150	3	0	12	0	0	1001	278.72	138.68	-16.05	237.99	1565.4	11	1000180400	10	1
296	86	1150	3	1	14	0	1	1005	621.65	-542.77	-299.87	997.39	925.8	13	1000140280	11	0
296	86	1150	3	2	14	1	2	1092	1887.91	32.29	-269.52	-473.84	1444.7	14	1000080160	11	0
296	86	1154	2	0	14	0	1	1004	1159.55	-283.40	-65.28	-501.40	193.7	13	1000080160	13	0
296	86	1154	2	1	12	0	2	1091	2328.89	46.72	-7.14	353.44	922.3	11	1000180400	16	1
296	86	2935	1	0	12	0	0	1001	2603.07	-186.56	192.78	66.45	381.7	11	1000180400	15	1
296	86	7158	3	0	14	0	1	1005	3812.42	-18.13	76.46	88.53	177.7	13	1000180400	13	1
296	86	7158	3	1	12	0	1	1003	1451.68	37.51	-99.31	67.02	914.6	11	1000180400	19	1
296	86	7158	3	2	14	0	0	1001	454.46	482.28	-397.95	662.75	1578.8	13	1000140280	9	0
296	86	9621	2	0	12	0	1	1003	823.89	-5.24	-98.20	394.95	1285.9	11	1000180400	13	1
296	86	9621	2	1	14	0	1	1003	667.77	146.53	260.53	951.37	1150.8	13	1000200400	28	0
296	86	10992	1	0	12	0	2	1091	2521.49	-156.60	-43.85	362.07	680.5	11	1000180400	12	1
300	20	807	2	0	14	1	1	1008	1983.20	167.88	363.60	-362.20	1089.0	14	1000120240	11	0
300	20	807	2	1	12	0	0	1001	2345.74	-159.25	-140.05	149.98	1522.8	11	1000180400	8	1
300	20	4427	2	0	12	0	0	1001	793.62	-142.39	-120.61	292.19	1053.2	11	1000180400	10	1
300	20	4427	2	1	14	0	10	1000	859.47	-57.86	326.14	-472.87	974.7	13	1000140280	13	0
300	20	4754	1	0	12	0	1	1005	1653.43	88.81	10.13	57.19	1575.2	11	1000180400	12	1
300	20	6354	1	0	12	0	2	1091	917.14	94.10	104.83	380.67	1398.4	11	1000180400	15	1
300	20	7096	1	0	-12	0	0	1001	975.74	-100.24	-119.88	458.09	416.8	-11	1000180400	9	1
300	20	7361	1	0	12	0	0	1001	907.68	-137.04	-181.56	68.70	364.6	11	1000180400	10	1
300	20	9269	1	0	12	0	1	1000	1686.33	137.11	-146.68	299.65	1469.8	11	1000180400	18	1
300	20	10603	1	0	12	0	1	1003	1437.76	78.75	-134.74	61.02	821.5	11	1000180400	13	1
300	20	11199	1	0	12	0	1	1005	1702.11	-47.69	197.54	310.18	903.6	11	1000180400	13	1
300	20	11515	1	0	12	0	0	1001	2234.49	-112.65	-114.39	53.79	763.1	11	1000180400	19	1
295	70	1855	1	0	12	0	0	1001	565.71	176.60	-52.46	390.72	1492.8	11	1000180400	9	1
295	70	2925	1	0	-12	0	1	1000	3501.17	49.24	-65.21	340.71	317.7	-11	1000180400	13	1
295	70	4226	2	0	12	0	2	1091	2019.79	46.33	-17.54	357.09	1379.7	11	1000180400	11	1
