uuid	entry	run	subrun	event	dnnsp_class	gauss_class	wiener_class	Thomas-Avinay1_dnnsp_same	Thomas-Avinay1_dnnsp_maxabs	Thomas-Avinay1_dnnsp_ndiff	Thomas-Avinay1_dnnsp_nchan	Thomas-Avinay1_dnnsp_nroi	Thomas-Avinay1_dnnsp_nval	Thomas-Avinay1_gauss_same	Thomas-Avinay1_gauss_maxabs	Thomas-Avinay1_gauss_ndiff	Thomas-Avinay1_gauss_nchan	Thomas-Avinay1_gauss_nroi	Thomas-Avinay1_gauss_nval	Thomas-Avinay1_wiener_same	Thomas-Avinay1_wiener_maxabs	Thomas-Avinay1_wiener_ndiff	Thomas-Avinay1_wiener_nchan	Thomas-Avinay1_wiener_nroi	Thomas-Avinay1_wiener_nval	Thomas-Avinay2_dnnsp_same	Thomas-Avinay2_dnnsp_maxabs	Thomas-Avinay2_dnnsp_ndiff	Thomas-Avinay2_dnnsp_nchan	Thomas-Avinay2_dnnsp_nroi	Thomas-Avinay2_dnnsp_nval	Thomas-Avinay2_gauss_same	Thomas-Avinay2_gauss_maxabs	Thomas-Avinay2_gauss_ndiff	Thomas-Avinay2_gauss_nchan	Thomas-Avinay2_gauss_nroi	Thomas-Avinay2_gauss_nval	Thomas-Avinay2_wiener_same	Thomas-Avinay2_wiener_maxabs	Thomas-Avinay2_wiener_ndiff	Thomas-Avinay2_wiener_nchan	Thomas-Avinay2_wiener_nroi	Thomas-Avinay2_wiener_nval	Avinay1-Avinay2_dnnsp_same	Avinay1-Avinay2_dnnsp_maxabs	Avinay1-Avinay2_dnnsp_ndiff	Avinay1-Avinay2_dnnsp_nchan	Avinay1-Avinay2_dnnsp_nroi	Avinay1-Avinay2_dnnsp_nval	Avinay1-Avinay2_gauss_same	Avinay1-Avinay2_gauss_maxabs	Avinay1-Avinay2_gauss_ndiff	Avinay1-Avinay2_gauss_nchan	Avinay1-Avinay2_gauss_nroi	Avinay1-Avinay2_gauss_nval	Avinay1-Avinay2_wiener_same	Avinay1-Avinay2_wiener_maxabs	Avinay1-Avinay2_wiener_ndiff	Avinay1-Avinay2_wiener_nchan	Avinay1-Avinay2_wiener_nroi	Avinay1-Avinay2_wiener_nval	Thomas_dnnsp_nz	Avinay1_dnnsp_nz	Avinay2_dnnsp_nz	Avinay2_passthrough	Thomas_reco1	Thomas_detsim	Avinay1_reco1	Avinay1_detsim	Avinay2_reco1	Avinay2_detsim
006f-92f1-9cdf-bb8c	0	1	16	1	all_same	all_differ	all_differ	1	0.0	0	0	0	0	0	2.319999933242798	93	4	4	0	0	3.8799996376037598	63	4	3	1	1	0.0	0	0	0	0	0	2.319999933242798	61	3	3	0	0	3.8799996376037598	37	3	2	1	1	0.0	0	0	0	0	0	0.46000000834465027	32	1	1	0	0	1.4199999570846558	26	1	1	0	259321	259321	259321	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-79e0-b05f-da5b-3c93.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-79e0-b05f-da5b-3c93.root
006f-92f1-9cdf-bb8c	1	1	16	2	T=A2!=A1	all_same	all_same	0	2.276324510574341	33	1	1	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	0	2.276324510574341	33	1	1	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	515163	515168	515163	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-79e0-b05f-da5b-3c93.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-79e0-b05f-da5b-3c93.root
006f-92f1-9cdf-bb8c	2	1	16	6	all_same	T=A1!=A2	T=A1!=A2	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	0	13.680000305175781	59	1	1	0	0	18.280000686645508	59	1	1	0	1	0.0	0	0	0	0	0	13.680000305175781	59	1	1	0	0	18.280000686645508	59	1	1	0	315899	315899	315899	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-79e0-b05f-da5b-3c93.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-79e0-b05f-da5b-3c93.root
006f-92f1-9cdf-bb8c	3	1	16	10	all_same	all_same	all_same	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	330471	330471	330471	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-79e0-b05f-da5b-3c93.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-79e0-b05f-da5b-3c93.root
006f-92f1-9cdf-bb8c	4	1	16	13	all_same	all_same	all_same	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	494305	494305	494305	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-006f-92f1-9cdf-bb8c.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-cbe9-1524-0b94-fa86.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-79e0-b05f-da5b-3c93.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-79e0-b05f-da5b-3c93.root
04cb-888a-ffaf-5808	0	1	9	2	all_same	A1=A2!=T	A1=A2!=T	1	0.0	0	0	0	0	0	2.380000114440918	116	4	4	0	0	3.9000000953674316	99	4	4	0	1	0.0	0	0	0	0	0	2.380000114440918	116	4	4	0	0	3.9000000953674316	99	4	4	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	268797	268797	268797	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-cc12-8af6-ca79-73af.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-cc12-8af6-ca79-73af.root
04cb-888a-ffaf-5808	1	1	9	4	all_same	all_same	all_same	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	405804	405804	405804	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-cc12-8af6-ca79-73af.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-cc12-8af6-ca79-73af.root
04cb-888a-ffaf-5808	2	1	9	5	all_same	T=A1!=A2	T=A1!=A2	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	0	13.15999984741211	26	1	1	0	0	17.899999618530273	22	1	1	0	1	0.0	0	0	0	0	0	13.15999984741211	26	1	1	0	0	17.899999618530273	22	1	1	0	298665	298665	298665	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-cc12-8af6-ca79-73af.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-cc12-8af6-ca79-73af.root
04cb-888a-ffaf-5808	3	1	9	10	all_same	all_same	all_same	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	176468	176468	176468	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-cc12-8af6-ca79-73af.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-cc12-8af6-ca79-73af.root
04cb-888a-ffaf-5808	4	1	9	11	all_same	T=A2!=A1	T=A2!=A1	1	0.0	0	0	0	0	0	2.859999895095825	77	3	3	0	0	7.079999923706055	79	3	3	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	1	0.0	0	0	0	0	0	2.859999895095825	77	3	3	0	0	7.079999923706055	79	3	3	0	162674	162674	162674	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/reco1/000000/000000/reco1-detsim-cc12-8af6-ca79-73af.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-rerun-20260924/detsim/000000/000000/detsim-cc12-8af6-ca79-73af.root
