uuid	entry	run	subrun	event	dnnsp_reco1_same	dnnsp_detsim_same	gauss_same	wiener_same	dnnsp_maxabs	dnnsp_ndiff	dnnsp_sumT	dnnsp_sumA	gauss_maxabs	gauss_ndiff	wiener_maxabs	wiener_ndiff	passthrough_T	passthrough_A	T_reco1	A_reco1	T_detsim	A_detsim
4f08-780d-177d-1e84	0	1	8	1	1	1	1	1	0.0	0	6599973.5	6599973.5	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-02d4-052b-a7c2-4a42.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-02d4-052b-a7c2-4a42.root
4f08-780d-177d-1e84	1	1	8	2	1	1	0	0	0.0	0	9404939.0	9404939.0	10.479999542236328	4478	16.700000762939453	3884	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-02d4-052b-a7c2-4a42.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-02d4-052b-a7c2-4a42.root
4f08-780d-177d-1e84	2	1	8	4	1	1	0	0	0.0	0	7405589.5	7405589.5	14.199999809265137	57	15.539999961853027	57	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-02d4-052b-a7c2-4a42.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-02d4-052b-a7c2-4a42.root
4f08-780d-177d-1e84	3	1	8	9	1	1	1	1	0.0	0	9537734.0	9537734.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-02d4-052b-a7c2-4a42.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-02d4-052b-a7c2-4a42.root
4f08-780d-177d-1e84	4	1	8	13	1	1	0	0	0.0	0	11490584.0	11490584.0	1.8600000143051147	103	4.980000019073486	88	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-02d4-052b-a7c2-4a42.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-02d4-052b-a7c2-4a42.root
4f08-780d-177d-1e84	5	1	8	14	1	1	1	1	0.0	0	9206050.0	9206050.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-02d4-052b-a7c2-4a42.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-02d4-052b-a7c2-4a42.root
4f08-780d-177d-1e84	6	1	8	15	1	1	1	1	0.0	0	6231053.5	6231053.5	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-02d4-052b-a7c2-4a42.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-4f08-780d-177d-1e84.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-02d4-052b-a7c2-4a42.root
f356-90c1-0215-e140	0	1	10	2	1	1	1	1	0.0	0	11850277.0	11850277.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-073d-091b-c438-e7ec.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-073d-091b-c438-e7ec.root
f356-90c1-0215-e140	1	1	10	5	0	0	1	1	2.7721526622772217	75	6487970.5	6488052.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-073d-091b-c438-e7ec.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-073d-091b-c438-e7ec.root
f356-90c1-0215-e140	2	1	10	6	0	0	1	1	11.587388038635254	187	11276648.0	11276148.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-073d-091b-c438-e7ec.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-073d-091b-c438-e7ec.root
f356-90c1-0215-e140	3	1	10	9	1	1	1	1	0.0	0	11432582.0	11432582.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-073d-091b-c438-e7ec.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-073d-091b-c438-e7ec.root
f356-90c1-0215-e140	4	1	10	15	1	1	0	0	0.0	0	8049784.0	8049784.0	0.06000000238418579	24	0.30000001192092896	24	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-073d-091b-c438-e7ec.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-f356-90c1-0215-e140.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-073d-091b-c438-e7ec.root
7459-87c8-75c1-6f29	0	1	3	9	1	1	0	0	0.0	0	5595936.5	5595936.5	0.9999998807907104	135	2.2799997329711914	106	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-7459-87c8-75c1-6f29.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-089f-81b6-93fa-a208.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-7459-87c8-75c1-6f29.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-089f-81b6-93fa-a208.root
7459-87c8-75c1-6f29	1	1	3	11	1	1	0	0	0.0	0	3938197.25	3938197.25	14.460000038146973	53	19.299999237060547	51	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-7459-87c8-75c1-6f29.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-089f-81b6-93fa-a208.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-7459-87c8-75c1-6f29.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-089f-81b6-93fa-a208.root
